Country Name,Country Code,Series Name,Series Code,2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,313.928.071,4.010.861.381,2.994.340.471,3.218.378.299,3.525.807.198,3.681.844.691,383.817.388,3.986.231.624,3.607.289.299,3.591.828.052,3.914.527.854,4.220.540.321,4.604.646.324
Armenia,ARM,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,4.618.392.961,4.622.225.787,4.644.109.073,4.570.657.445,4.703.027.363,4.712.605.047,4.719.107.011,4.705.560.769,4.683.496.221,4.605.271.024,4.615.074.772,4.423.371.341,4.513.564.381
Armenia,ARM,"Children out of school, primary, female",SE.PRM.UNER.FE,843,..,..,..,2718,2023,2029,3779,3105,4102,4628,5376,6952
Armenia,ARM,"Children out of school, primary",SE.PRM.UNER,3288,..,..,..,6728,5023,4874,8641,7779,9460,9961,11426,14928
Austria,AUT,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.168.555.288,3.215.950.332,0.506308828,181.353.439,3.286.579.149,2.485.675.622,2.000.156.169,160.581.183,0.896563335,0.891591753,2.081.269.114,1.998.379.814,1.530.895.642
Austria,AUT,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2.221.175.867,1.956.322.281,1.889.264.178,0.873054962,1.833.410.245,2.054.235.685,162.388.807,2.175.707.237,2.300.978.667,1.848.294.698,1.005.534.159,1.801.930.508,1.622.589.405
Austria,AUT,"Employers, female (% of female employment) (modeled ILO estimate)",SL.EMP.MPYR.FE.ZS,2.630.000.114,2.609.999.895,2.589.999.914,2.609.999.895,2.440.000.057,2.339.999.914,2.269.999.981,2.420.000.076,2.460.000.038,2.529.999.971,2.640.000.105,2.5,2.539.999.962
Austria,AUT,"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,5.004.999.924,5.102.999.878,5.129.999.924,5.165.000.153,5.200.999.832,5.236.999.893,5.236.999.893,5.233.000.183,5.241.999.817,5.281.000.137,5.309.999.847,5.331.000.137,5.356.000.137
Austria,AUT,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,5.053.900.146,5.126.200.104,504.469.986,4.884.000.015,4.972.100.067,501.629.982,4.967.900.085,4.979.700.089,4.865.100.098,4.897.600.174,4.897.100.067,4.866.799.927,4.831.100.082
Austria,AUT,"Population, total",SP.POP.TOTL,8295487,8321496,8343323,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8840521,8879920
Austria,AUT,"Population, female",SP.POP.TOTL.FE.IN,4259861,4271066,4279831,4287444,4299034,4315556,4337527,4367372,4411651,4453787,4478340,4493586,4507562
Austria,AUT,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,5.300.000.191,4.410.999.775,5.085.000.038,4.631.999.969,4.576.000.214,4.795.000.076,5.287.000.179,5.381.000.042,5.306.000.233,5.538.000.107,5.032.000.065,4.652.999.878,4.350.999.832
Austria,AUT,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,9.647.000.313,8.600.999.832,1.009.799.957,9.385.000.229,9.092.000.008,9.255.000.114,1.000.599.957,9.934.000.015,1.002.999.973,1.023.200.035,8.720.999.718,9.378.000.259,7.782.999.992
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,3.89E+16,4.30E+16,4.00E+16,3.92E+16,4.31E+15,4.09E+16,4.30E+16,4.42E+16,3.82E+16,3.96E+16,4.16E+15,4.55E+16,4.45E+16
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,4.685.577.175,5.170.876.575,479.631.794,4.685.804.327,5.137.495.841,4.856.769.529,5.071.670.871,5.171.749.594,4.417.804.738,4.527.683.144,4.731.200.623,5.146.143.322,5.011.440.111
Austria,AUT,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,4.570.028.693,459.474.756,4.626.443.513,4.635.294.948,4.654.060.394,467.042.862,4.678.472.983,4.692.432.073,4.689.506.112,4.693.377.296,4.684.818.043,466.599.795,4.666.082.463
Austria,AUT,"Children out of school, primary, female",SE.PRM.UNER.FE,4647,5132,4149,4020,4632,2802,1822,985,521,186,..,..,..
Austria,AUT,"Children out of school, primary",SE.PRM.UNER,8872,9671,8421,7641,9350,5423,3318,2102,1512,663,149,143,187
Australia,AUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.327.611.289,435.029.855,1.771.117.166,2.918.340.027,3.303.850.156,1.762.780.156,2.449.888.641,2.487.922.705,1.508.366.722,1.276.990.945,1.948.647.409,1.911.400.944,1.610.767.873
Australia,AUS,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,4.982.430.315,4.614.583.524,4.988.338.454,1.165.383.439,6.206.780.722,1.789.129.964,-0.15259154,144.182.453,-0.6165424,-0.597558625,3.745.090.037,1.830.155.298,3.418.785.916
Australia,AUS,"Employers, female (% of female employment) (modeled ILO estimate)",SL.EMP.MPYR.FE.ZS,4.960.000.038,4.949.999.809,4.619.999.886,4.760.000.229,4.590.000.153,4.380.000.114,4.340.000.153,4.300.000.191,4.349.999.905,4.210.000.038,4.099.999.905,3.839.999.914,4.139.999.866
Australia,AUS,"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,5.529.000.092,5.586.999.893,5.556.999.969,5.545.999.908,5.574.000.168,5.563.999.939,5.538.999.939,5.502.999.878,5.552.000.046,5.590.999.985,5.645.999.908,5.727.999.878,5.784.999.847
Australia,AUS,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,6.320.800.018,6.346.300.125,6.069.499.969,5.969.100.189,6.017.499.924,5.945.999.908,5.873.400.116,5.798.300.171,5.876.599.884,5.879.899.979,5.873.300.171,6.031.700.134,6.076.399.994
Australia,AUS,"Population, total",SP.POP.TOTL,20827600,21249200,21691700,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24601860,24982688,25365745
Australia,AUS,"Population, female",SP.POP.TOTL.FE.IN,10422152,10626574,10843809,11013858,11172755,11378171,11586371,11770519,11948693,12141288,12349632,12541215,12733486
Australia,AUS,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,4.788.000.107,4.565.000.057,5.401.000.023,5.380.000.114,5.304.999.828,5.323.999.882,5.605.999.947,6.171.999.931,6.065.999.985,578.000.021,5.670.000.076,5.321.000.099,5.100.999.832
Australia,AUS,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,9.199.000.359,8.548.000.336,103.210.001,1.109.700.012,1.073.799.992,1.089.700.031,1.131.499.958,1.242.599.964,1.188.799.953,1.139.999.962,1.150.800.037,1.071.899.986,1.063.000.011
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,8.54E+16,1.06E+17,9.28E+16,1.15E+17,1.40E+17,1.55E+17,1.58E+17,1.47E+16,1.35E+17,1.21E+17,1.33E+17,1.43E+17,1.39E+17
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,4.100.114.298,496.549.106,4.278.332.257,5.208.797.229,625.741.457,6.802.784.171,6.815.662.792,6.251.169.059,5.670.702.208,4.988.176.371,5.393.425.018,571.807.794,5.487.528.596
Australia,AUS,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,4.490.212.821,4.501.583.962,4.517.187.711,4.507.409.391,4.526.556.815,4.541.801.099,4.554.759.443,4.573.957.499,4.592.717.338,4.621.154.153,464.011.509,4.657.311.981,4.671.102.826
Australia,AUS,"Children out of school, primary, female",SE.PRM.UNER.FE,..,..,..,..,17865,15723,..,..,..,..,3169,5119,7676
Australia,AUS,"Children out of school, primary",SE.PRM.UNER,18579,16931,13008,9666,44871,39575,1212,1742,1861,955,7031,9614,15542
Azerbaijan,AZE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.669.975.496,2.084.908.718,145.704.836,5.726.872.247,7.858.333.333,1.066.213.397,2.415.717.453,1.373.441.815,4.027.685.737,1.244.337.486,1.293.591.842,2.268.546.904,2.610.571.828
Azerbaijan,AZE,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2.102.932.861,2.777.745.943,-1.884.495.709,1.354.581.673,2.252.436.131,2.882.932.999,0.445064412,-1.284.995.726,-8.849.692.506,1.467.140.039,1.617.240.024,1.218.487.696,-0.241307862
Azerbaijan,AZE,"Employers, female (% of female employment) (modeled ILO estimate)",SL.EMP.MPYR.FE.ZS,10,9.510.000.229,9.289.999.962,9.409.999.847,1.081.999.969,8.479.999.542,8.710.000.038,8.5,8.520.000.458,1.071.000.004,1.077.000.046,981.000.042,1.047.000.027
Azerbaijan,AZE,"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,5.863.999.939,5.847.000.122,5.770.999.908,5.768.000.031,5.752.000.046,5.759.999.847,5.779.999.924,5.829.999.924,5.870.000.076,59,5.920.000.076,5.940.000.153,5.970.000.076
Azerbaijan,AZE,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,3.480.899.811,3.139.599.991,3.229.999.924,3.616.999.817,2.753.000.069,2.697.400.093,2.829.800.034,2.906.100.082,3.060.000.038,33.125,3.515.299.988,3.724.499.893,3.695.700.073
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,8581300,8763400,8947243,9054332,9173082,9295784,9416801,9535079,9649341,9757812,9854033,9939771,10024283
Azerbaijan,AZE,"Population, female",SP.POP.TOTL.FE.IN,4342687,4430218,4518717,4568408,4624010,4681717,4738628,4794145,4847591,4898038,4942298,4981391,5020148
Azerbaijan,AZE,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,5.500.999.928,5.544.000.149,6.574.999.809,6.907.000.065,6.446.000.099,6.093.999.863,5.945.000.172,5.839.000.225,5.867.000.103,5.907.999.992,5.927.000.046,5.765.999.794,5.711.999.893
Azerbaijan,AZE,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,1.160.499.954,1.195.800.018,1.474.699.974,1.336.299.992,1.512.300.014,1.617.700.005,1.573.099.995,1.570.800.018,1.559.200.001,1.542.500.019,1.513.500.023,1.444.299.984,1.415.999.985
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,33050343783,48852482960,44291490421,52909294792,65951627200,69683935845,74164435946,75244294275,53074370486,37867518957,40865558912,47112941176,48174235294
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,3.851.437.869,5.574.603.802,4.950.294.791,5.843.533.768,7.189.691.229,7.496.294.648,7.875.756.953,7.891.313.147,5.500.310.382,3.880.738.731,4.147.089.716,473.984.171,4.805.753.718
Azerbaijan,AZE,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,4.787.847.403,4.822.393.922,4.902.667.571,4.931.246.134,4.919.369.812,489.582.748,4.889.293.788,489.473.648,4.902.237.524,4.878.438.321,4.872.875.076,4.875.858.552,4.872.313.473
Azerbaijan,AZE,"Children out of school, primary, female",SE.PRM.UNER.FE,34881,34147,31015,31744,26499,20869,8359,..,..,..,3367,12040,21341
Azerbaijan,AZE,"Children out of school, primary",SE.PRM.UNER,71283,70361,61748,64067,49999,38511,8544,3638,5980,4338,12166,24803,55687
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,18.230.563,4.489.444.205,-0.053145674,2.189.299.204,3.532.082.107,2.839.663.434,111.309.594,0.340002833,0.561429153,1.973.852.647,212.597.086,2.053.164.999,143.681.957
Belgium,BEL,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1.931.721.117,1.908.845.425,0.533179398,189.207.786,1.807.299.468,1.961.119.341,1.271.258.155,0.982645555,1.330.386.128,1.920.850.695,1.830.272.796,1.518.919.988,1.754.070.579
Belgium,BEL,"Employers, female (% of female employment) (modeled ILO estimate)",SL.EMP.MPYR.FE.ZS,2.269.999.981,2.079.999.924,2.279.999.971,2.400.000.095,1.879.999.995,2.069.999.933,2.269.999.981,2.359.999.895,2.380.000.114,2.339.999.914,249.000.001,2.230.000.019,2.069.999.933
Belgium,BEL,"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,4.259.999.847,4.334.999.847,4.313.999.939,4.365.000.153,4.365.999.985,4.361.000.061,4.386.999.893,4.425.999.832,4.427.999.878,4.415.999.985,4.527.999.878,4.677.000.046,4.736.999.893
Belgium,BEL,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,2.497.400.093,2.501.099.968,2.319.199.944,2.311.300.087,2.420.299.911,2.264.800.072,2.190.099.907,2.181.900.024,2.167.900.085,2.140.399.933,2.081.200.027,2.347.200.012,2.577.899.933
Belgium,BEL,"Population, total",SP.POP.TOTL,10625700,10709973,10796493,10895586,11038264,11106932,11159407,11209057,11274196,11331422,11375158,11427054,11488980
Belgium,BEL,"Population, female",SP.POP.TOTL.FE.IN,5409818,5451570,5494816,5544815,5617613,5653189,5679989,5703536,5732314,5753945,5766141,5781326,5802420
Belgium,BEL,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,8.447.999.954,7.604.000.092,8.112.999.916,8.513.999.939,7.177.999.973,740.899.992,8.175.000.191,7.938.000.202,7.769.000.053,7.559.999.943,7.058.000.088,5.565.000.057,493.900.013
Belgium,BEL,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,2.086.100.006,1.871.299.934,2.247.999.954,223.560.009,1.873.600.006,1.886.700.058,2.246.999.931,2.231.299.973,200.529.995,1.813.500.023,1.808.200.073,152.869.997,1.231.799.984
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,4.70E+16,5.15E+16,4.81E+16,4.81E+16,5.23E+16,4.96E+16,5.22E+16,5.35E+16,4.62E+15,4.76E+15,5.02E+16,5.43E+16,5.35E+16
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,44.262.896,4.810.689.292,4.458.354.481,4.414.187.814,4.734.852.502,4.467.311.588,4.674.466.254,4.770.054.036,4.099.180.814,4.198.410.303,4.408.931.009,475.195.531,4.659.149.161
Belgium,BEL,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,4.454.564.524,4.482.877.889,4.503.192.605,4.525.627.777,4.534.457.866,4.537.362.633,4.575.363.087,4.608.135.028,4.614.839.029,4.603.173.427,4.624.730.737,4.660.717.644,4.664.134.886
Belgium,BEL,"Children out of school, primary, female",SE.PRM.UNER.FE,6391,4197,4870,5554,4954,4281,4458,5247,4338,3382,1098,1278,1819
Belgium,BEL,"Children out of school, primary",SE.PRM.UNER,13081,8603,9716,11467,10445,8491,8887,9806,7403,5451,2164,4131,7160
Bosnia and Herzegovina,BIH,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.500.777.106,7.427.043.103,-0.381464282,1.996.212.367,367.125,205.267.452,-0.093045684,-0.897194054,-1.036.023.034,-15.841,0.810133322,141.710.814,0.562782154
Bosnia and Herzegovina,BIH,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,6.197.569.555,7.335.351.328,0.185466542,1.406.293.659,2.432.527.989,0.795773265,-0.224121882,1.000.337.171,1.365.727.212,1.406.962.883,1.696.359.701,2.747.569.582,2.631.204.786
Bosnia and Herzegovina,BIH,"Employers, female (% of female employment) (modeled ILO estimate)",SL.EMP.MPYR.FE.ZS,3.079.999.924,3.539.999.962,2.769.999.981,3.390.000.105,3.369.999.886,3.299.999.952,3.359.999.895,3.369.999.886,3.470.000.029,3.529.999.971,3.650.000.095,3.5,403.000.021
Bosnia and Herzegovina,BIH,"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,2.063.999.939,2.301.000.023,2.362.999.916,2.312.999.916,2.287.000.084,2.251.000.023,2.294.000.053,2.267.000.008,2.315.999.985,2.242.000.008,2.480.999.947,2.498.999.977,2.662.999.916
Bosnia and Herzegovina,BIH,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,9.375,1.240.200.043,1.157.999.992,100.909.996,9.392.999.649,7.446.000.099,7.909.999.847,8.152.000.427,8.163.999.557,8.925.999.641,1.173.499.966,1.276.000.023,1.894.400.024
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3762791,3754261,3735945,3705478,3661173,3604972,3542598,3482106,3429362,3386263,3351534,3323929,3300998
Bosnia and Herzegovina,BIH,"Population, female",SP.POP.TOTL.FE.IN,1914514,1910269,1901145,1885941,1863814,1835725,1804557,1774341,1748019,1726540,1709262,1695554,1684199
Bosnia and Herzegovina,BIH,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,3.293.600.082,2.678.899.956,2.564.500.046,2.992.900.085,2.993.799.973,3.066.900.063,2.901.199.913,3.117.900.085,306.760.006,3.005.500.031,2.311.400.032,2.031.599.998,1.873.900.032
Bosnia and Herzegovina,BIH,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,6.311.100.006,5.158.000.183,5.229.600.143,6.090.999.985,5.993.399.811,6.414.499.664,5.930.899.811,6.511.799.622,6.693.900.299,5.851.200.104,5.040.999.985,4.508.800.125,3.689.199.829
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,15778767411,19112739398,17613836527,17176781046,18644723854,17221192466,18172335776,18560861389,16219819017,16914287349,18079075771,20177409351,20201323260
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,4.193.368.011,5.090.945.834,4.714.693.746,4.635.510.195,5.092.554.723,4.777.066.914,5.129.663.534,5.330.355.075,4.729.689.959,4.994.971.551,5.394.268.944,6.070.349.081,6.119.762.345
Bosnia and Herzegovina,BIH,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,3.638.639.996,3.721.448.468,3.777.221.083,3.837.128.344,3.842.079.866,3.802.721.675,3.834.975.445,3.893.172.287,3.915.369.837,3.823.966.936,3.930.339.319,3.853.626.163,4.044.253.953
Bosnia and Herzegovina,BIH,"Children out of school, primary, female",SE.PRM.UNER.FE,..,..,..,..,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..,..,..,..
Bulgaria,BGR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,840.253.419,123.487.196,2.753.202.239,2.438.990.605,4.219.903.466,2.954.568.298,0.890093541,-1.418.183.803,-0.104633261,-0.798649886,2.061.596.194,2.814.544.738,3.103.729.448
Bulgaria,BGR,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1.104.777.728,8.100.504.232,3.938.027.582,0.764233397,6.112.979.908,1.112.136.794,0.071962013,1.340.740.195,2.946.785.657,332.208.191,4.810.288.428,4.232.654.424,5.236.819.061
Bulgaria,BGR,"Employers, female (% of female employment) (modeled ILO estimate)",SL.EMP.MPYR.FE.ZS,2.329.999.924,225.999.999,2.059.999.943,224.000.001,2.279.999.971,2.200.000.048,2.269.999.981,2.210.000.038,1.960.000.038,2.109.999.895,2.200.000.048,2.140.000.105,2.119.999.886
Bulgaria,BGR,"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,4.400.999.832,4.554.000.092,4.436.999.893,4.318.000.031,4.243.000.031,4.263.999.939,4.281.000.137,4.356.000.137,4.447.000.122,4.434.000.015,4.656.999.969,4.693.000.031,4.834.000.015
Bulgaria,BGR,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,2.171.800.041,2.303.899.956,2.131.800.079,2.122.100.067,1.892.499.924,1.871.800.041,1.834.600.067,1.725.600.052,1.644.099.998,1.623.600.006,1.909.600.067,1.698.200.035,1.835.700.035
Bulgaria,BGR,"Population, total",SP.POP.TOTL,7545338,7492561,7444443,7395599,7348328,7305888,7265115,7223938,7177991,7127822,7075947,7025037,6975761
Bulgaria,BGR,"Population, female",SP.POP.TOTL.FE.IN,3872722,3844865,3819570,3794289,3770298,3749213,3729310,3709343,3686934,3662344,3636886,3611859,3587537
Bulgaria,BGR,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,7.290.999.889,5.760.000.229,6.626.999.855,9.609.000.206,1.010.999.966,1.084.000.015,118.409.996,1.039.799.976,8.413.999.557,6.964.000.225,5.946.000.099,4.650.000.095,3.868.999.958
Bulgaria,BGR,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,160.170.002,1.140.799.999,1.386.499.977,2.011.700.058,2.364.699.936,2.600.499.916,256.609.993,2.373.600.006,222.689.991,1.690.999.985,1.245.499.992,1.188.899.994,8.293.000.221
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,44405101470,54438966420,52023504656,50682061053,57678241024,54300857424,55810138436,57082011260,50781996713,53953897624,59199447421,66363422450,68915416142
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,5.885.104.348,7.265.735.497,6.988.233.325,6.853.002.854,7.849.165.283,7.432.478.766,768.193.462,7.901.785.876,7.074.681.023,7.569.478.815,8.366.293.221,9.446.700.772,9.879.268.533
Bulgaria,BGR,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,4.667.425.004,4.643.546.725,4.632.915.549,4.627.294.651,4.650.078.886,4.662.932.609,4.664.158.356,4.650.956.523,4.654.131.036,4.632.618.405,4.639.420.867,4.616.090.103,4.612.370.077
Bulgaria,BGR,"Children out of school, primary, female",SE.PRM.UNER.FE,..,..,..,..,..,3047,5547,7251,10662,14626,16813,19315,21250
Bulgaria,BGR,"Children out of school, primary",SE.PRM.UNER,588,152,886,450,514,6389,11428,15467,21711,29488,34641,39977,43662
Canada,CAN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.138.383.993,2.370.270.674,0.299466803,1.776.871.541,2.912.135.089,1.515.678.231,0.938291898,1.906.635.907,1.125.241.361,1.428.759.547,1.596.884.129,2.268.225.672,1.949.269.024
Canada,CAN,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,-1.357.274.676,3.983.738.602,-2.311.525.374,2.849.946.456,323.475.903,1.211.917.544,1.737.448,1.944.598.697,-0.876717545,0.75403003,256.499.684,161.741.439,147.519.792
Canada,CAN,"Employers, female (% of female employment) (modeled ILO estimate)",SL.EMP.MPYR.FE.ZS,2.839.999.914,2.829.999.924,2.75,2.690.000.057,2.779.999.971,2.599.999.905,2.630.000.114,2.609.999.895,2.700.000.048,2.609.999.895,2.589.999.914,2.710.000.038,2.589.999.914
Canada,CAN,"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,5.897.999.954,5.902.000.046,5.804.999.924,5.790.000.153,5.779.999.924,5.788.999.939,5.806.999.969,5.761.999.893,5.738.000.107,5.745.999.908,5.788.000.107,5.793.999.863,5.822.000.122
Canada,CAN,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,5.979.299.927,6.004.000.092,5.727.700.043,5.670.000.076,5.647.399.902,5.556.900.024,5.601.699.829,5.693.299.866,5.716.799.927,5.678.499.985,5.764.799.881,5.724.300.003,588.030.014
Canada,CAN,"Population, total",SP.POP.TOTL,32889025,33247118,33628895,34004889,34339328,34714222,35082954,35437435,35702908,36109487,36545295,37065178,37593384
Canada,CAN,"Population, female",SP.POP.TOTL.FE.IN,16577534,16754826,16945066,17133868,17303497,17494958,17683847,17864828,17999309,18202997,18419765,18677710,18939365
Canada,CAN,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,5.652.999.878,565.199.995,7.005.000.114,7.243.000.031,7.008.999.825,6.816.999.912,6.597.000.122,6.388.999.939,6.291.999.817,6.241.000.175,5.850.999.832,5.488.999.844,5.25
